"Launch Angle (degrees)","Exit Velocity (mph)","Predicted Probability of a Hit"
-28,106,"26.0%"
-28,105,"34.0%"
-28,104,"17.4%"
-28,103,"30.8%"
-28,102,"60.0%"
-28,101,"32.9%"
-28,100,"33.5%"
-28,99,"39.2%"
-28,98,"33.3%"
-28,97,"20.6%"
-28,96,"21.7%"
-28,95,"25.9%"
-28,94,"25.2%"
-28,93,"17.3%"
-28,92,"8.4%"
-28,91,"20.7%"
-28,90,"7.6%"
-28,89,"11.2%"
-28,88,"11.4%"
-28,87,"10.0%"
-28,86,"14.4%"
-28,85,"6.4%"
-28,84,"14.5%"
-28,83,"12.3%"
-28,82,"7.8%"
-28,81,"8.2%"
-28,80,"4.8%"
-28,79,"16.4%"
-28,78,"2.6%"
-28,77,"4.1%"
-28,76,"9.0%"
-28,75,"6.0%"
-28,73,"6.1%"
-28,72,"6.1%"
-28,71,"8.8%"
-28,70,"13.9%"
-28,69,"8.0%"
-28,68,"10.6%"
-28,67,"4.6%"
-28,66,"6.2%"
-28,65,"14.2%"
-28,64,"9.5%"
-28,63,"5.9%"
-28,62,"3.4%"
-28,61,"3.0%"
-28,60,"8.8%"
-28,56,"6.0%"
-28,55,"24.8%"
-28,52,"14.8%"
-28,49,"14.2%"
-28,46,"16.0%"
-28,43,"11.6%"
-28,34,"21.0%"
-29,103,"19.2%"
-29,102,"27.4%"
-29,99,"32.1%"
-29,97,"16.4%"
-29,96,"20.0%"
-29,95,"36.7%"
-29,94,"16.0%"
-29,93,"32.8%"
-29,92,"17.9%"
-29,91,"25.8%"
-29,90,"10.6%"
-29,89,"13.1%"
-29,88,"6.7%"
-29,87,"11.8%"
-29,86,"9.1%"
-29,85,"11.8%"
-29,84,"1.5%"
-29,83,"6.1%"
-29,82,"11.9%"
-29,81,"6.3%"
-29,79,"4.5%"
-29,78,"13.8%"
-29,77,"6.5%"
-29,76,"12.6%"
-29,75,"1.4%"
-29,74,"10.3%"
-29,72,"9.8%"
-29,71,"1.6%"
-29,70,"8.4%"
-29,69,"9.5%"
-29,68,"6.3%"
-29,66,"5.5%"
-29,65,"3.8%"
-29,64,"1.6%"
-29,63,"4.0%"
-29,62,"14.6%"
-29,61,"17.5%"
-29,60,"6.8%"
-29,59,"8.5%"
-29,58,"8.6%"
-29,57,"26.2%"
-29,56,"12.2%"
-29,54,"11.6%"
-29,49,"19.2%"
-29,44,"22.6%"
-30,109,"18.4%"
-30,108,"22.6%"
-30,105,"25.8%"
-30,101,"29.8%"
-30,100,"22.6%"
-30,97,"42.6%"
-30,96,"20.0%"
-30,95,"20.8%"
-30,94,"44.2%"
-30,93,"14.0%"
-30,92,"19.2%"
-30,91,"29.8%"
-30,90,"13.1%"
-30,89,"13.2%"
-30,88,"13.0%"
-30,87,"13.3%"
-30,86,"21.3%"
-30,85,"10.7%"
-30,84,"15.5%"
-30,83,"13.0%"
-30,82,"9.2%"
-30,81,"4.8%"
-30,80,"1.5%"
-30,79,"7.6%"
-30,78,"6.4%"
-30,77,"4.8%"
-30,76,"24.8%"
-30,75,"7.3%"
-30,74,"5.8%"
-30,73,"2.8%"
-30,72,"10.6%"
-30,70,"14.0%"
-30,69,"9.4%"
-30,68,"9.3%"
-30,67,"5.1%"
-30,66,"8.8%"
-30,65,"3.4%"
-30,63,"12.0%"
-30,62,"11.7%"
-30,60,"6.0%"
-30,59,"3.2%"
-30,58,"8.5%"
-30,57,"17.2%"
-30,54,"24.0%"
-30,51,"13.8%"
-30,39,"20.4%"
-30,38,"17.4%"
-30,35,"15.6%"
-31,102,"20.4%"
-31,98,"44.2%"
-31,97,"18.0%"
-31,96,"32.2%"
-31,95,"12.0%"
-31,94,"17.6%"
-31,93,"17.4%"
-31,92,"19.3%"
-31,91,"22.5%"
-31,90,"12.8%"
-31,89,"13.5%"
-31,88,"16.7%"
-31,87,"21.8%"
-31,86,"5.5%"
-31,85,"12.6%"
-31,84,"12.2%"
-31,83,"5.5%"
-31,82,"6.4%"
-31,81,"7.6%"
-31,80,"0.2%"
-31,79,"5.7%"
-31,78,"10.0%"
-31,77,"5.6%"
-31,76,"7.3%"
-31,75,"4.2%"
-31,74,"12.8%"
-31,73,"9.7%"
-31,72,"5.7%"
-31,71,"6.2%"
-31,70,"7.6%"
-31,69,"15.2%"
-31,68,"5.5%"
-31,67,"4.3%"
-31,66,"8.8%"
-31,65,"2.8%"
-31,64,"9.7%"
-31,63,"10.9%"
-31,62,"3.4%"
-31,61,"10.0%"
-31,60,"11.0%"
-31,59,"7.8%"
-31,57,"3.3%"
-31,56,"8.6%"
-31,54,"4.6%"
-31,53,"23.2%"
-31,51,"5.0%"
-31,47,"3.8%"
-31,46,"6.4%"
-32,104,"8.4%"
-32,103,"31.2%"
-32,100,"36.0%"
-32,99,"34.4%"
-32,98,"27.4%"
-32,97,"16.6%"
-32,96,"36.7%"
-32,95,"72.2%"
-32,94,"24.3%"
-32,93,"7.2%"
-32,92,"18.9%"
-32,91,"10.6%"
-32,90,"10.1%"
-32,89,"12.2%"
-32,88,"18.0%"
-32,87,"13.1%"
-32,86,"22.6%"
-32,85,"5.1%"
-32,84,"16.0%"
-32,83,"7.5%"
-32,82,"16.9%"
-32,81,"12.4%"
-32,80,"2.4%"
-32,79,"8.2%"
-32,78,"5.6%"
-32,77,"6.1%"
-32,76,"3.5%"
-32,75,"7.3%"
-32,73,"5.5%"
-32,72,"6.0%"
-32,71,"4.8%"
-32,70,"9.7%"
-32,69,"7.0%"
-32,68,"5.1%"
-32,67,"11.4%"
-32,66,"3.0%"
-32,65,"10.3%"
-32,64,"6.6%"
-32,62,"8.7%"
-32,60,"2.2%"
-32,59,"2.5%"
-32,56,"4.4%"
-32,54,"19.8%"
-32,53,"16.2%"
-32,49,"10.3%"
-32,42,"31.2%"
-32,40,"24.0%"
-32,38,"17.6%"
-33,104,"18.4%"
-33,99,"27.4%"
-33,97,"31.3%"
-33,96,"27.8%"
-33,95,"28.4%"
-33,94,"35.9%"
-33,92,"28.4%"
-33,91,"12.0%"
-33,90,"14.0%"
-33,88,"4.7%"
-33,87,"10.7%"
-33,86,"12.5%"
-33,85,"18.0%"
-33,84,"8.3%"
-33,83,"7.1%"
-33,82,"4.9%"
-33,81,"10.2%"
-33,79,"11.1%"
-33,78,"11.3%"
-33,77,"22.2%"
-33,76,"13.8%"
-33,75,"8.2%"
-33,74,"4.9%"
-33,73,"8.2%"
-33,72,"5.0%"
-33,71,"8.2%"
-33,70,"8.0%"
-33,69,"7.8%"
-33,68,"9.0%"
-33,67,"5.7%"
-33,66,"12.4%"
-33,65,"14.8%"
-33,64,"3.2%"
-33,63,"6.6%"
-33,62,"5.0%"
-33,61,"1.4%"
-33,60,"18.2%"
-33,59,"17.8%"
-33,56,"8.8%"
-33,55,"11.4%"
-33,45,"18.8%"
-33,42,"8.7%"
-33,39,"26.6%"
-34,99,"22.4%"
-34,95,"20.3%"
-34,94,"30.4%"
-34,93,"28.4%"
-34,92,"9.6%"
-34,91,"28.4%"
-34,90,"13.4%"
-34,88,"8.2%"
-34,87,"11.3%"
-34,86,"32.2%"
-34,85,"4.5%"
-34,84,"10.1%"
-34,83,"6.9%"
-34,82,"7.4%"
-34,81,"3.8%"
-34,80,"13.7%"
-34,79,"17.8%"
-34,78,"16.1%"
-34,77,"4.5%"
-34,76,"7.7%"
-34,75,"3.7%"
-34,74,"3.2%"
-34,73,"22.4%"
-34,72,"2.8%"
-34,71,"11.0%"
-34,70,"9.0%"
-34,69,"10.0%"
-34,68,"6.6%"
-34,67,"12.0%"
-34,66,"5.7%"
-34,65,"7.4%"
-34,64,"10.4%"
-34,62,"5.3%"
-34,61,"2.4%"
-34,60,"11.4%"
-34,59,"3.7%"
-34,58,"16.6%"
-34,55,"7.4%"
-34,53,"6.5%"
-34,51,"5.0%"
-34,47,"18.4%"
-34,46,"18.1%"
-34,43,"18.2%"
-34,40,"28.6%"
-34,29,"19.8%"
-35,103,"36.6%"
-35,101,"27.6%"
-35,95,"29.5%"
-35,94,"74.4%"
-35,93,"37.4%"
-35,92,"33.4%"
-35,91,"20.0%"
-35,90,"17.8%"
-35,89,"27.1%"
-35,88,"13.2%"
-35,87,"16.5%"
-35,85,"21.7%"
-35,83,"5.2%"
-35,82,"18.0%"
-35,81,"10.7%"
-35,80,"19.8%"
-35,79,"4.4%"
-35,78,"5.0%"
-35,77,"12.0%"
-35,76,"3.7%"
-35,75,"13.5%"
-35,74,"11.5%"
-35,72,"21.8%"
-35,71,"5.1%"
-35,69,"1.4%"
-35,68,"4.8%"
-35,67,"3.6%"
-35,66,"8.0%"
-35,65,"11.1%"
-35,64,"7.3%"
-35,63,"8.3%"
-35,62,"16.6%"
-35,61,"4.4%"
-35,60,"13.8%"
-35,59,"14.8%"
-35,54,"10.7%"
-35,53,"11.4%"
-35,50,"19.5%"
-35,47,"24.0%"
-35,44,"22.6%"
-35,43,"23.6%"
-35,42,"22.6%"
-35,38,"15.1%"
-36,101,"21.2%"
-36,97,"22.0%"
-36,93,"11.0%"
-36,89,"11.1%"
-36,88,"15.2%"
-36,87,"2.4%"
-36,86,"15.1%"
-36,85,"11.7%"
-36,84,"6.6%"
-36,83,"16.0%"
-36,82,"11.6%"
-36,81,"6.1%"
-36,80,"14.3%"
-36,79,"3.6%"
-36,78,"16.3%"
-36,77,"22.9%"
-36,75,"10.3%"
-36,74,"16.7%"
-36,73,"8.4%"
-36,72,"5.0%"
-36,71,"9.4%"
-36,70,"12.9%"
-36,69,"11.4%"
-36,68,"12.6%"
-36,67,"16.5%"
-36,66,"5.1%"
-36,65,"2.2%"
-36,64,"2.6%"
-36,63,"14.2%"
-36,62,"2.8%"
-36,61,"20.1%"
-36,60,"4.2%"
-36,59,"2.2%"
-36,57,"1.0%"
-36,56,"11.8%"
-36,52,"17.6%"
-36,51,"20.8%"
-36,49,"27.4%"
-36,48,"7.8%"
-36,47,"11.7%"
-36,46,"23.9%"
-36,45,"6.6%"
-36,41,"32.4%"
-36,31,"25.4%"
-37,96,"33.8%"
-37,95,"18.0%"
-37,93,"16.4%"
-37,91,"4.8%"
-37,89,"20.5%"
-37,88,"13.2%"
-37,87,"20.1%"
-37,86,"11.4%"
-37,85,"22.2%"
-37,84,"34.2%"
-37,83,"7.8%"
-37,82,"10.0%"
-37,81,"9.5%"
-37,80,"13.2%"
-37,79,"11.9%"
-37,78,"11.8%"
-37,77,"11.8%"
-37,76,"9.1%"
-37,75,"7.7%"
-37,74,"3.4%"
-37,73,"13.0%"
-37,72,"8.5%"
-37,71,"24.0%"
-37,68,"4.2%"
-37,67,"9.4%"
-37,65,"2.3%"
-37,63,"15.9%"
-37,62,"8.4%"
-37,60,"12.4%"
-37,59,"16.2%"
-37,57,"10.1%"
-37,55,"7.4%"
-37,54,"35.8%"
-37,51,"14.6%"
-37,45,"16.6%"
-37,40,"69.4%"
-38,98,"32.4%"
-38,93,"15.1%"
-38,92,"7.4%"
-38,88,"29.2%"
-38,87,"9.3%"
-38,86,"15.1%"
-38,85,"21.8%"
-38,84,"10.6%"
-38,83,"23.4%"
-38,82,"21.4%"
-38,81,"18.0%"
-38,80,"13.6%"
-38,79,"17.0%"
-38,78,"17.7%"
-38,77,"3.8%"
-38,76,"8.9%"
-38,74,"2.1%"
-38,73,"13.4%"
-38,72,"8.9%"
-38,71,"10.1%"
-38,70,"4.5%"
-38,69,"8.9%"
-38,68,"7.1%"
-38,66,"7.2%"
-38,65,"10.1%"
-38,64,"19.7%"
-38,63,"9.0%"
-38,62,"19.8%"
-38,61,"11.9%"
-38,59,"6.2%"
-38,58,"6.6%"
-38,54,"3.4%"
-38,53,"14.3%"
-38,52,"14.6%"
-39,96,"30.6%"
-39,92,"18.5%"
-39,88,"16.1%"
-39,87,"19.5%"
-39,86,"22.0%"
-39,85,"6.6%"
-39,84,"40.3%"
-39,83,"41.0%"
-39,82,"32.9%"
-39,81,"15.4%"
-39,79,"8.1%"
-39,78,"5.0%"
-39,76,"15.3%"
-39,75,"17.7%"
-39,74,"15.3%"
-39,73,"15.3%"
-39,71,"19.8%"
-39,70,"10.2%"
-39,68,"3.6%"
-39,67,"12.7%"
-39,66,"13.9%"
-39,64,"17.4%"
-39,63,"16.2%"
-39,61,"24.4%"
-39,60,"36.5%"
-39,57,"27.1%"
-39,56,"9.1%"
-39,55,"29.5%"
-39,54,"28.2%"
-39,53,"16.8%"
-39,50,"11.2%"
-39,48,"6.7%"
-39,46,"9.0%"
-39,43,"8.4%"
-40,97,"22.0%"
-40,94,"14.8%"
-40,91,"6.0%"
-40,90,"21.9%"
-40,89,"15.8%"
-40,87,"15.1%"
-40,86,"24.6%"
-40,85,"23.1%"
-40,84,"20.5%"
-40,83,"29.3%"
-40,82,"15.7%"
-40,81,"13.8%"
-40,80,"11.0%"
-40,79,"5.0%"
-40,78,"9.0%"
-40,77,"16.0%"
-40,76,"12.3%"
-40,75,"15.9%"
-40,74,"23.0%"
-40,73,"14.4%"
-40,72,"7.4%"
-40,71,"12.5%"
-40,70,"7.8%"
-40,69,"11.6%"
-40,68,"8.9%"
-40,66,"4.2%"
-40,65,"11.6%"
-40,64,"10.0%"
-40,63,"10.0%"
-40,62,"10.0%"
-40,61,"3.1%"
-40,60,"6.5%"
-40,59,"22.8%"
-40,58,"10.8%"
-40,52,"3.4%"
-40,51,"10.6%"
-40,48,"27.0%"
-40,47,"3.0%"
-40,45,"18.6%"
-40,41,"46.8%"
-40,32,"22.8%"
-41,92,"34.2%"
-41,90,"44.2%"
-41,89,"15.9%"
-41,86,"7.0%"
-41,85,"26.0%"
-41,84,"15.2%"
-41,83,"9.9%"
-41,82,"24.3%"
-41,81,"12.4%"
-41,79,"19.0%"
-41,78,"19.1%"
-41,77,"6.2%"
-41,76,"9.6%"
-41,75,"8.5%"
-41,74,"9.9%"
-41,72,"8.6%"
-41,71,"4.8%"
-41,70,"8.5%"
-41,69,"10.4%"
-41,68,"7.8%"
-41,67,"11.7%"
-41,66,"11.1%"
-41,64,"9.7%"
-41,63,"35.2%"
-41,62,"1.8%"
-41,61,"3.8%"
-41,60,"12.8%"
-41,59,"9.9%"
-41,58,"7.8%"
-41,57,"6.7%"
-41,55,"7.8%"
-41,54,"11.8%"
-41,52,"11.6%"
-41,51,"21.6%"
-41,34,"7.8%"
-42,98,"22.6%"
-42,87,"17.3%"
-42,86,"9.8%"
-42,83,"17.1%"
-42,82,"17.2%"
-42,81,"2.4%"
-42,79,"9.0%"
-42,78,"16.1%"
-42,77,"4.6%"
-42,75,"8.2%"
-42,73,"10.7%"
-42,72,"15.4%"
-42,71,"10.5%"
-42,69,"7.7%"
-42,68,"10.2%"
-42,67,"5.3%"
-42,65,"65.4%"
-42,63,"17.4%"
-42,61,"8.4%"
-42,60,"17.2%"
-42,59,"13.8%"
-42,58,"15.0%"
-42,57,"28.2%"
-42,56,"14.0%"
-42,55,"30.2%"
-42,53,"3.4%"
-42,45,"10.8%"
-42,43,"3.8%"
-42,42,"11.0%"
-42,39,"38.4%"
-42,37,"51.6%"
-43,89,"25.8%"
-43,86,"4.2%"
-43,85,"6.2%"
-43,83,"43.0%"
-43,82,"11.0%"
-43,81,"13.7%"
-43,80,"13.4%"
-43,79,"10.0%"
-43,78,"11.8%"
-43,76,"6.6%"
-43,75,"24.7%"
-43,74,"21.2%"
-43,73,"9.7%"
-43,72,"1.4%"
-43,71,"8.4%"
-43,69,"8.4%"
-43,68,"10.4%"
-43,67,"15.4%"
-43,66,"20.7%"
-43,65,"12.8%"
-43,64,"16.6%"
-43,63,"12.5%"
-43,62,"7.7%"
-43,60,"4.6%"
-43,59,"25.2%"
-43,58,"9.0%"
-43,57,"21.8%"
-43,56,"2.8%"
-43,54,"17.5%"
-43,53,"48.1%"
-43,50,"24.3%"
-43,47,"20.6%"
-43,46,"4.9%"
-43,40,"8.4%"
-44,96,"19.0%"
-44,91,"42.4%"
-44,88,"52.0%"
-44,85,"6.6%"
-44,84,"6.6%"
-44,83,"11.5%"
-44,82,"17.8%"
-44,81,"17.4%"
-44,80,"13.4%"
-44,79,"18.6%"
-44,78,"21.4%"
-44,77,"18.2%"
-44,75,"13.2%"
-44,74,"6.8%"
-44,72,"11.8%"
-44,71,"5.2%"
-44,70,"35.6%"
-44,69,"6.2%"
-44,68,"10.4%"
-44,67,"6.6%"
-44,65,"15.9%"
-44,63,"1.4%"
-44,62,"6.3%"
-44,61,"16.8%"
-44,60,"14.2%"
-44,59,"15.2%"
-44,58,"9.0%"
-44,56,"2.4%"
-44,54,"71.4%"
-44,48,"6.0%"
-44,45,"7.6%"
-44,44,"44.6%"
-44,42,"9.2%"
-44,41,"34.3%"
-45,86,"6.0%"
-45,81,"11.5%"
-45,77,"6.2%"
-45,76,"4.8%"
-45,75,"11.8%"
-45,74,"13.2%"
-45,73,"13.9%"
-45,72,"15.9%"
-45,71,"11.2%"
-45,70,"7.8%"
-45,69,"20.4%"
-45,68,"20.5%"
-45,67,"6.0%"
-45,66,"20.7%"
-45,65,"12.0%"
-45,64,"51.0%"
-45,62,"9.2%"
-45,60,"11.6%"
-45,59,"13.5%"
-45,58,"23.0%"
-45,55,"13.9%"
-45,54,"26.7%"
-45,53,"2.4%"
-45,50,"10.6%"
-45,49,"6.8%"
-45,46,"4.8%"
-45,43,"53.4%"
-45,40,"18.0%"
-45,27,"27.4%"
-46,89,"11.8%"
-46,87,"11.2%"
-46,86,"20.4%"
-46,83,"6.0%"
-46,81,"10.4%"
-46,80,"21.5%"
-46,79,"6.7%"
-46,78,"10.6%"
-46,77,"19.0%"
-46,76,"12.7%"
-46,75,"19.0%"
-46,74,"4.2%"
-46,73,"19.2%"
-46,72,"10.6%"
-46,71,"8.0%"
-46,70,"16.5%"
-46,69,"8.2%"
-46,68,"7.0%"
-46,67,"9.6%"
-46,66,"3.2%"
-46,65,"11.8%"
-46,64,"6.2%"
-46,63,"11.4%"
-46,62,"18.0%"
-46,61,"15.8%"
-46,59,"17.5%"
-46,58,"6.2%"
-46,57,"14.6%"
-46,56,"27.4%"
-46,55,"14.7%"
-46,54,"18.6%"
-46,53,"14.7%"
-46,51,"20.4%"
-46,49,"6.8%"
-46,48,"1.2%"
-46,47,"1.2%"
-47,86,"10.4%"
-47,82,"11.4%"
-47,80,"5.2%"
-47,79,"8.2%"
-47,78,"13.4%"
-47,77,"12.0%"
-47,74,"9.0%"
-47,73,"18.8%"
-47,71,"10.6%"
-47,69,"2.4%"
-47,68,"7.0%"
-47,67,"2.8%"
-47,66,"3.1%"
-47,65,"7.2%"
-47,64,"2.6%"
-47,62,"8.2%"
-47,61,"15.8%"
-47,60,"18.6%"
-47,59,"6.6%"
-47,57,"24.2%"
-47,56,"10.7%"
-47,54,"12.2%"
-47,52,"42.8%"
-47,49,"5.0%"
-47,46,"9.6%"
-47,42,"22.0%"
-47,36,"18.8%"
-48,95,"29.2%"
-48,86,"25.8%"
-48,84,"42.6%"
-48,83,"4.8%"
-48,81,"12.8%"
-48,80,"14.0%"
-48,77,"16.8%"
-48,76,"20.3%"
-48,74,"15.0%"
-48,73,"8.5%"
-48,72,"10.4%"
-48,70,"24.5%"
-48,69,"4.4%"
-48,67,"11.8%"
-48,65,"6.7%"
-48,64,"18.8%"
-48,63,"2.1%"
-48,62,"7.5%"
-48,61,"37.6%"
-48,60,"8.5%"
-48,59,"10.4%"
-48,57,"16.2%"
-48,55,"12.8%"
-48,53,"3.8%"
-48,52,"17.8%"
-48,51,"18.5%"
-48,50,"18.6%"
-48,49,"15.5%"
-48,48,"34.8%"
-48,42,"9.0%"
-48,33,"11.0%"
-49,90,"29.6%"
-49,81,"16.8%"
-49,80,"6.0%"
-49,78,"12.6%"
-49,77,"11.3%"
-49,76,"8.6%"
-49,74,"36.2%"
-49,71,"13.8%"
-49,70,"15.6%"
-49,68,"14.0%"
-49,67,"18.4%"
-49,66,"14.4%"
-49,64,"16.0%"
-49,63,"15.8%"
-49,61,"12.8%"
-49,60,"10.0%"
-49,59,"36.6%"
-49,58,"20.8%"
-49,57,"18.3%"
-49,56,"12.6%"
-49,55,"18.7%"
-49,53,"15.8%"
-49,52,"9.2%"
-49,49,"12.2%"
-49,48,"13.8%"
-49,41,"27.0%"
-50,84,"12.0%"
-50,83,"13.4%"
-50,80,"14.6%"
-50,77,"8.9%"
-50,76,"19.2%"
-50,75,"37.6%"
-50,74,"6.0%"
-50,72,"14.7%"
-50,71,"1.4%"
-50,68,"8.3%"
-50,67,"21.2%"
-50,65,"15.6%"
-50,64,"27.2%"
-50,62,"18.2%"
-50,61,"15.6%"
-50,60,"13.6%"
-50,59,"41.2%"
-50,58,"17.6%"
-50,55,"25.8%"
-50,54,"14.4%"
-50,53,"28.2%"
-50,52,"4.6%"
-50,47,"43.2%"
-50,45,"15.4%"
-50,38,"17.6%"
-50,32,"68.8%"
-51,79,"5.2%"
-51,77,"15.8%"
-51,72,"13.6%"
-51,71,"14.6%"
-51,70,"15.8%"
-51,69,"6.0%"
-51,68,"11.2%"
-51,66,"9.6%"
-51,65,"1.8%"
-51,63,"12.3%"
-51,62,"3.1%"
-51,61,"5.8%"
-51,60,"11.9%"
-51,59,"8.4%"
-51,57,"20.8%"
-51,56,"46.2%"
-51,55,"24.4%"
-51,53,"3.9%"
-51,48,"5.4%"
-51,46,"28.2%"
-51,43,"6.8%"
-51,42,"25.2%"
-51,41,"21.0%"
-51,27,"9.8%"
-52,89,"12.4%"
-52,81,"2.0%"
-52,78,"17.8%"
-52,75,"23.6%"
-52,73,"5.6%"
-52,71,"15.6%"
-52,69,"10.5%"
-52,68,"6.7%"
-52,67,"12.2%"
-52,66,"25.7%"
-52,65,"1.4%"
-52,63,"17.6%"
-52,60,"16.7%"
-52,58,"11.4%"
-52,53,"16.6%"
-52,52,"4.2%"
-52,50,"32.2%"
-52,49,"25.6%"
-52,47,"12.4%"
-52,39,"10.4%"
-52,35,"18.2%"
-53,94,"21.2%"
-53,74,"12.0%"
-53,73,"14.2%"
-53,71,"6.4%"
-53,70,"2.6%"
-53,68,"4.8%"
-53,67,"49.2%"
-53,66,"16.7%"
-53,65,"29.2%"
-53,64,"10.6%"
-53,63,"6.0%"
-53,62,"19.1%"
-53,61,"13.3%"
-53,60,"11.6%"
-53,59,"14.6%"
-53,58,"23.8%"
-53,57,"22.3%"
-53,56,"4.4%"
-53,55,"15.8%"
-53,54,"24.7%"
-53,52,"9.8%"
-53,50,"32.1%"
-53,44,"20.6%"
-53,37,"1.8%"
-53,35,"8.0%"
-53,34,"9.6%"
-54,74,"18.9%"
-54,72,"24.0%"
-54,71,"10.7%"
-54,69,"5.3%"
-54,68,"20.4%"
-54,67,"23.8%"
-54,65,"20.4%"
-54,64,"27.0%"
-54,63,"21.8%"
-54,62,"1.8%"
-54,58,"36.0%"
-54,53,"20.0%"
-54,50,"20.5%"
-54,49,"18.8%"
-54,47,"18.0%"
-54,42,"68.4%"
-54,41,"22.8%"
-55,84,"6.2%"
-55,82,"12.0%"
-55,80,"39.0%"
-55,79,"9.0%"
-55,76,"24.8%"
-55,72,"26.2%"
-55,71,"18.7%"
-55,70,"4.2%"
-55,67,"10.4%"
-55,66,"3.0%"
-55,65,"11.0%"
-55,62,"6.6%"
-55,59,"8.9%"
-55,57,"16.0%"
-55,56,"14.4%"
-55,54,"19.2%"
-55,52,"22.2%"
-55,50,"14.0%"
-55,49,"14.0%"
-55,48,"22.8%"
-55,45,"62.6%"
-55,44,"27.4%"
-56,81,"9.6%"
-56,75,"36.8%"
-56,72,"25.8%"
-56,70,"14.8%"
-56,69,"65.8%"
-56,66,"9.2%"
-56,64,"5.6%"
-56,63,"30.0%"
-56,60,"22.5%"
-56,58,"22.2%"
-56,57,"18.2%"
-56,51,"55.8%"
-56,47,"17.4%"
-56,46,"18.0%"
-57,79,"9.0%"
-57,77,"16.6%"
-57,76,"20.6%"
-57,75,"21.7%"
-57,72,"24.0%"
-57,69,"21.4%"
-57,68,"5.6%"
-57,64,"10.2%"
-57,63,"19.6%"
-57,61,"0.8%"
-57,59,"1.4%"
-57,58,"15.2%"
-57,57,"25.0%"
-57,55,"19.5%"
-57,53,"24.4%"
-57,51,"24.2%"
-57,49,"16.2%"
-57,48,"7.0%"
-57,44,"31.2%"
-57,40,"20.2%"
-57,30,"21.8%"
-58,79,"23.0%"
-58,69,"30.0%"
-58,67,"9.2%"
-58,66,"13.0%"
-58,63,"25.2%"
-58,62,"18.2%"
-58,58,"17.9%"
-58,57,"24.6%"
-58,55,"29.8%"
-58,52,"27.1%"
-58,50,"16.6%"
-58,41,"8.2%"
-58,39,"10.0%"
-59,81,"3.2%"
-59,75,"26.0%"
-59,74,"10.3%"
-59,67,"50.6%"
-59,65,"26.2%"
-59,63,"22.6%"
-59,62,"13.9%"
-59,59,"31.7%"
-59,57,"19.6%"
-59,56,"30.4%"
-59,55,"16.6%"
-59,53,"7.6%"
-59,52,"16.8%"
-59,51,"67.0%"
-59,47,"20.1%"
-59,37,"16.2%"
-59,33,"21.2%"
-60,73,"23.2%"
-60,70,"35.6%"
-60,69,"6.2%"
-60,68,"17.4%"
-60,66,"23.4%"
-60,64,"4.0%"
-60,62,"19.0%"
-60,60,"47.2%"
-60,59,"56.8%"
-60,58,"26.6%"
-60,57,"21.2%"
-60,56,"26.0%"
-60,55,"28.8%"
-60,54,"9.8%"
-60,52,"33.2%"
-60,50,"16.6%"
-60,42,"46.6%"
-61,74,"32.0%"
-61,66,"10.5%"
-61,63,"17.6%"
-61,62,"19.2%"
-61,61,"13.2%"
-61,60,"8.2%"
-61,58,"26.6%"
-61,56,"34.8%"
-61,55,"12.1%"
-61,52,"20.8%"
-61,51,"25.4%"
-61,47,"35.6%"
-61,44,"33.8%"
-61,39,"19.2%"
-62,83,"11.6%"
-62,77,"1.4%"
-62,72,"3.4%"
-62,66,"20.0%"
-62,64,"13.2%"
-62,63,"7.8%"
-62,62,"12.6%"
-62,61,"11.7%"
-62,59,"19.6%"
-62,57,"15.8%"
-62,54,"22.6%"
-62,53,"12.8%"
-62,52,"28.6%"
-62,45,"24.4%"
-63,82,"20.8%"
-63,80,"21.4%"
-63,76,"13.8%"
-63,75,"17.0%"
-63,68,"18.7%"
-63,63,"35.6%"
-63,62,"15.0%"
-63,60,"4.6%"
-63,54,"13.1%"
-63,50,"28.8%"
-63,47,"7.0%"
-64,72,"15.4%"
-64,65,"5.4%"
-64,61,"6.0%"
-64,58,"4.2%"
-64,57,"7.1%"
-64,56,"14.2%"
-64,53,"16.8%"
-64,52,"12.2%"
-64,50,"5.8%"
-64,49,"15.6%"
-64,48,"26.8%"
-64,40,"25.8%"
-65,73,"22.6%"
-65,62,"17.5%"
-65,58,"15.8%"
-65,49,"23.6%"
-66,70,"31.2%"
-66,66,"6.4%"
-66,64,"14.0%"
-66,61,"2.8%"
-66,60,"22.2%"
-66,56,"10.4%"
-66,55,"4.2%"
-66,53,"14.1%"
-66,52,"18.2%"
-66,49,"25.2%"
-66,45,"26.4%"
-66,40,"20.6%"
-67,79,"4.2%"
-67,70,"2.8%"
-67,57,"4.0%"
-67,55,"10.4%"
-67,54,"26.6%"
-67,50,"12.4%"
-67,45,"23.4%"
-67,44,"17.8%"
-68,75,"2.4%"
-68,64,"22.8%"
-68,57,"24.4%"
-69,66,"10.4%"
-69,65,"7.8%"
-69,64,"18.4%"
-69,57,"10.8%"
-69,54,"3.0%"
-69,51,"20.8%"
-69,48,"24.2%"
-69,44,"11.0%"
-69,43,"13.6%"
-70,77,"24.2%"
-70,73,"32.4%"
-70,65,"12.2%"
-70,62,"9.3%"
-70,57,"20.8%"
-70,56,"24.0%"
-70,55,"7.5%"
-70,54,"11.6%"
-70,41,"1.4%"
-70,40,"1.4%"
-71,66,"10.0%"
-71,64,"12.4%"
-71,62,"11.1%"
